"","V1","V2","V3"
"1","MMM","Industrials","3M Co"
"2","ACE","Financials","ACE Limited"
"3","ABT","Health Care","Abbott Laboratories"
"4","ANF","Consumer Discretionary","Abercrombie & Fitch Company A"
"5","ADBE","Information Technology","Adobe Systems Inc"
"6","AMD","Information Technology","Advanced Micro Devices"
"7","AES","Utilities","AES Corp"
"8","AET","Health Care","Aetna Inc"
"9","AFL","Financials","AFLAC Inc"
"10","A","Information Technology","Agilent Technologies Inc"
"11","APD","Materials","Air Products & Chemicals Inc"
"12","ARG","Materials","Airgas Inc"
"13","AKS","Materials","AK Steel Hldg Corp"
"14","AKAM","Information Technology","Akamai Technologies Inc"
"15","AA","Materials","Alcoa Inc"
"16","ATI","Materials","Allegheny Technologies Inc"
"17","AGN","Health Care","Allergan Inc"
"18","ALL","Financials","Allstate Corp"
"19","ALTR","Information Technology","Altera Corp"
"20","MO","Consumer Staples","Altria Group Inc"
"21","AMZN","Consumer Discretionary","Amazon.com Inc"
"22","AEE","Utilities","Ameren Corp"
"23","AEP","Utilities","American Electric Power"
"24","AXP","Financials","American Express Co"
"25","AIG","Financials","American Intl Group Inc"
"26","AMT","Telecommunications Services","American Tower Corp A"
"27","ABC","Health Care","AmerisourceBergen Corp"
"28","AMGN","Health Care","Amgen Inc"
"29","APH","Industrials","Amphenol Corp A"
"30","APC","Energy","Anadarko Petroleum Corp"
"31","ADI","Information Technology","Analog Devices Inc"
"32","AON","Financials","Aon Corporation"
"33","APA","Energy","Apache Corporation"
"34","AIV","Financials","Apartment Investment & Mgmt"
"35","APOL","Consumer Discretionary","Apollo Group Inc"
"36","AAPL","Information Technology","Apple Inc."
"37","AMAT","Information Technology","Applied Materials Inc"
"38","ADM","Consumer Staples","Archer-Daniels-Midland Co"
"39","T","Telecommunications Services","AT&T Inc"
"40","ADSK","Information Technology","Autodesk Inc"
"41","ADP","Information Technology","Automatic Data Processing"
"42","AN","Consumer Discretionary","AutoNation Inc"
"43","AZO","Consumer Discretionary","AutoZone Inc"
"44","AVB","Financials","AvalonBay Communities Inc"
"45","AVY","Industrials","Avery Dennison Corp"
"46","AVP","Consumer Staples","Avon Products"
"47","BHI","Energy","Baker Hughes Inc"
"48","BLL","Materials","Ball Corp"
"49","BAC","Financials","Bank of America Corp"
"50","BK","Financials","The Bank of New York Mellon Corp."
"51","BCR","Health Care","Bard (C.R.) Inc."
"52","BAX","Health Care","Baxter International Inc."
"53","BBT","Financials","BB&T Corporation"
"54","BDX","Health Care","Becton Dickinson"
"55","BBBY","Consumer Discretionary","Bed Bath & Beyond"
"56","BMS","Materials","Bemis Company"
"57","BBY","Consumer Discretionary","Best Buy Co. Inc."
"58","BIG","Consumer Discretionary","Big Lots Inc."
"59","BIIB","Health Care","BIOGEN IDEC Inc."
"60","BLK","Financials","Blackrock"
"61","HRB","Consumer Discretionary","Block H&R"
"62","BMC","Information Technology","BMC Software"
"63","BA","Industrials","Boeing Company"
"64","BXP","Financials","Boston Properties"
"65","BSX","Health Care","Boston Scientific"
"66","BMY","Health Care","Bristol-Myers Squibb"
"67","BRCM","Information Technology","Broadcom Corporation"
"68","CA","Information Technology","CA, Inc."
"69","CVC","Consumer Discretionary","Cablevision Systems Corp."
"70","COG","Energy","Cabot Oil & Gas"
"71","CAM","Energy","Cameron International Corp."
"72","CPB","Consumer Staples","Campbell Soup"
"73","COF","Financials","Capital One Financial"
"74","CAH","Health Care","Cardinal Health Inc."
"75","KMX","Consumer Discretionary","Carmax Inc"
"76","CCL","Consumer Discretionary","Carnival Corp."
"77","CAT","Industrials","Caterpillar Inc."
"78","CELG","Health Care","Celgene Corp."
"79","CNP","Utilities","CenterPoint Energy"
"80","CTL","Telecommunications Services","CenturyTel Inc"
"81","CEPH","Health Care","Cephalon Inc"
"82","CERN","Health Care","Cerner"
"83","SCHW","Financials","Charles Schwab"
"84","CHK","Energy","Chesapeake Energy"
"85","CVX","Energy","Chevron Corp."
"86","CB","Financials","Chubb Corp."
"87","CI","Health Care","CIGNA Corp."
"88","CINF","Financials","Cincinnati Financial"
"89","CTAS","Industrials","Cintas Corporation"
"90","CSCO","Information Technology","Cisco Systems"
"91","C","Financials","Citigroup Inc."
"92","CTXS","Information Technology","Citrix Systems"
"93","CLF","Materials","Cliffs Natural Resources"
"94","CLX","Consumer Staples","Clorox Co."
"95","CME","Financials","CME Group Inc."
"96","CMS","Utilities","CMS Energy"
"97","COH","Consumer Discretionary","Coach Inc."
"98","KO","Consumer Staples","Coca Cola Co."
"99","CCE","Consumer Staples","Coca-Cola Enterprises"
"100","CTSH","Information Technology","Cognizant Technology Solutions"
"101","CL","Consumer Staples","Colgate-Palmolive"
"102","CMCSA","Consumer Discretionary","Comcast Corp."
"103","CMA","Financials","Comerica Inc."
"104","CSC","Information Technology","Computer Sciences Corp."
"105","CPWR","Information Technology","Compuware Corp."
"106","COP","Energy","ConocoPhillips"
"107","CNX","Energy","CONSOL Energy Inc."
"108","ED","Utilities","Consolidated Edison"
"109","STZ","Consumer Staples","Constellation Brands"
"110","CEG","Utilities","Constellation Energy Group"
"111","GLW","Industrials","Corning Inc."
"112","COST","Consumer Staples","Costco Co."
"113","CVH","Health Care","Coventry Health Care Inc."
"114","CSX","Industrials","CSX Corp."
"115","CMI","Industrials","Cummins Inc."
"116","CVS","Consumer Staples","CVS Caremark Corp."
"117","DHI","Consumer Discretionary","D. R. Horton"
"118","DHR","Industrials","Danaher Corp."
"119","DRI","Consumer Discretionary","Darden Restaurants"
"120","DVA","Health Care","DaVita Inc."
"121","DF","Consumer Staples","Dean Foods"
"122","DE","Industrials","Deere & Co."
"123","DELL","Information Technology","Dell Inc."
"124","DNR","Energy","Denbury Resources Inc."
"125","XRAY","Health Care","Dentsply International"
"126","DVN","Energy","Devon Energy Corp."
"127","DV","Consumer Discretionary","DeVry, Inc."
"128","DO","Energy","Diamond Offshore Drilling"
"129","D","Utilities","Dominion Resources"
"130","RRD","Industrials","Donnelley (R.R.) & Sons"
"131","DOV","Industrials","Dover Corp."
"132","DOW","Materials","Dow Chemical"
"133","DTE","Utilities","DTE Energy Co."
"134","DD","Materials","Du Pont (E.I.)"
"135","DUK","Utilities","Duke Energy"
"136","DNB","Industrials","Dun & Bradstreet"
"137","ETFC","Financials","E-Trade"
"138","EMN","Materials","Eastman Chemical"
"139","EBAY","Information Technology","eBay Inc."
"140","ECL","Materials","Ecolab Inc."
"141","EIX","Utilities","Edison Int'l"
"142","EW","Health Care","Edwards Lifesciences"
"143","EP","Energy","El Paso Corp."
"144","ERTS","Information Technology","Electronic Arts"
"145","EMC","Information Technology","EMC Corp."
"146","EMR","Industrials","Emerson Electric"
"147","ETR","Utilities","Entergy Corp."
"148","EOG","Energy","EOG Resources"
"149","EQT","Utilities","EQT Corporation"
"150","EFX","Financials","Equifax Inc."
"151","EQR","Financials","Equity Residential"
"152","EL","Consumer Staples","Estee Lauder Cos."
"153","EXC","Utilities","Exelon Corp."
"154","EXPD","Industrials","Expeditors Int'l"
"155","ESRX","Health Care","Express Scripts"
"156","XOM","Energy","Exxon Mobil Corp."
"157","FFIV","Information Technology","F5 Networks"
"158","FDO","Consumer Discretionary","Family Dollar Stores"
"159","FAST","Industrials","Fastenal Co"
"160","FII","Financials","Federated Investors Inc."
"161","FDX","Industrials","FedEx Corporation"
"162","FIS","Information Technology","Fidelity National Information Services"
"163","FITB","Financials","Fifth Third Bancorp"
"164","FHN","Financials","First Horizon National"
"165","FE","Utilities","FirstEnergy Corp"
"166","FISV","Information Technology","Fiserv Inc"
"167","FLIR","Information Technology","FLIR Systems"
"168","FLS","Industrials","Flowserve Corporation"
"169","FLR","Industrials","Fluor Corp."
"170","FMC","Materials","FMC Corporation"
"171","FTI","Energy","FMC Technologies Inc."
"172","F","Consumer Discretionary","Ford Motor"
"173","FRX","Health Care","Forest Laboratories"
"174","FO","Consumer Discretionary","Fortune Brands Inc."
"175","BEN","Financials","Franklin Resources"
"176","FCX","Materials","Freeport-McMoran Cp & Gld"
"177","FTR","Telecommunications Services","Frontier Communications"
"178","GME","Consumer Discretionary","GameStop Corp."
"179","GCI","Consumer Discretionary","Gannett Co."
"180","GPS","Consumer Discretionary","Gap (The)"
"181","GD","Industrials","General Dynamics"
"182","GE","Industrials","General Electric"
"183","GIS","Consumer Staples","General Mills"
"184","GPC","Consumer Discretionary","Genuine Parts"
"185","GILD","Health Care","Gilead Sciences"
"186","GS","Financials","Goldman Sachs Group"
"187","GR","Industrials","Goodrich Corporation"
"188","GT","Consumer Discretionary","Goodyear Tire & Rubber"
"189","GWW","Industrials","Grainger (W.W.) Inc."
"190","HAL","Energy","Halliburton Co."
"191","HOG","Consumer Discretionary","Harley-Davidson"
"192","HAR","Consumer Discretionary","Harman Int'l Industries"
"193","HRS","Information Technology","Harris Corporation"
"194","HIG","Financials","Hartford Financial Svc.Gp."
"195","HAS","Consumer Discretionary","Hasbro Inc."
"196","HCP","Financials","HCP Inc."
"197","HCN","Financials","Health Care REIT"
"198","HNZ","Consumer Staples","Heinz (H.J.)"
"199","HP","Energy","Helmerich & Payne"
"200","HES","Energy","Hess Corporation"
"201","HPQ","Information Technology","Hewlett-Packard"
"202","HD","Consumer Discretionary","Home Depot"
"203","HON","Industrials","Honeywell Int'l Inc."
"204","HRL","Consumer Staples","Hormel Foods Corp."
"205","HST","Financials","Host Hotels & Resorts"
"206","HCBK","Financials","Hudson City Bancorp"
"207","HUM","Health Care","Humana Inc."
"208","HBAN","Financials","Huntington Bancshares"
"209","ITW","Industrials","Illinois Tool Works"
"210","TEG","Utilities","Integrys Energy Group Inc."
"211","INTC","Information Technology","Intel Corp."
"212","IBM","Information Technology","International Bus. Machines"
"213","IFF","Materials","International Flav/Frag"
"214","IGT","Consumer Discretionary","International Game Technology"
"215","IP","Materials","International Paper"
"216","IPG","Consumer Discretionary","Interpublic Group"
"217","INTU","Information Technology","Intuit Inc."
"218","ISRG","Health Care","Intuitive Surgical Inc."
"219","IVZ","Financials","Invesco Ltd."
"220","IRM","Industrials","Iron Mountain Incorporated"
"221","ITT","Industrials","ITT Corporation"
"222","JBL","Information Technology","Jabil Circuit"
"223","JEC","Industrials","Jacobs Engineering Group"
"224","JNS","Financials","Janus Capital Group"
"225","JDSU","Information Technology","JDS Uniphase Corp."
"226","JNJ","Health Care","Johnson & Johnson"
"227","JCI","Consumer Discretionary","Johnson Controls"
"228","JOYG","Industrials","Joy Global Inc."
"229","JPM","Financials","JPMorgan Chase & Co."
"230","JNPR","Information Technology","Juniper Networks"
"231","K","Consumer Staples","Kellogg Co."
"232","KEY","Financials","KeyCorp"
"233","KMB","Consumer Staples","Kimberly-Clark"
"234","KIM","Financials","Kimco Realty"
"235","KLAC","Information Technology","KLA-Tencor Corp."
"236","KSS","Consumer Discretionary","Kohl's Corp."
"237","KFT","Consumer Staples","Kraft Foods Inc-A"
"238","KR","Consumer Staples","Kroger Co."
"239","LLL","Industrials","L-3 Communications Holdings"
"240","LH","Health Care","Laboratory Corp. of America Holding"
"241","LM","Financials","Legg Mason"
"242","LEG","Consumer Discretionary","Leggett & Platt"
"243","LEN","Consumer Discretionary","Lennar Corp."
"244","LUK","Financials","Leucadia National Corp."
"245","LXK","Information Technology","Lexmark Int'l Inc"
"246","LIFE","Health Care","Life Technologies"
"247","LLY","Health Care","Lilly (Eli) & Co."
"248","LTD","Consumer Discretionary","Limited Brands Inc."
"249","LNC","Financials","Lincoln National"
"250","LLTC","Information Technology","Linear Technology Corp."
"251","LMT","Industrials","Lockheed Martin Corp."
"252","L","Financials","Loews Corp."
"253","LOW","Consumer Discretionary","Lowe's Cos."
"254","LSI","Information Technology","LSI Corporation"
"255","MTB","Financials","M&T Bank Corp."
"256","M","Consumer Discretionary","Macy's Inc."
"257","MRO","Energy","Marathon Oil Corp."
"258","MAR","Consumer Discretionary","Marriott Int'l."
"259","MMC","Financials","Marsh & McLennan"
"260","MI","Financials","Marshall & Ilsley Corp."
"261","MAS","Industrials","Masco Corp."
"262","MAT","Consumer Discretionary","Mattel Inc."
"263","MKC","Consumer Staples","McCormick & Co."
"264","MCD","Consumer Discretionary","McDonald's Corp."
"265","MHP","Consumer Discretionary","McGraw-Hill"
"266","MCK","Health Care","McKesson Corp."
"267","MWV","Materials","MeadWestvaco Corporation"
"268","MDT","Health Care","Medtronic Inc."
"269","WFR","Information Technology","MEMC Electronic Materials"
"270","MRK","Health Care","Merck & Co."
"271","MET","Financials","MetLife Inc."
"272","MCHP","Information Technology","Microchip Technology"
"273","MU","Information Technology","Micron Technology"
"274","MSFT","Information Technology","Microsoft Corp."
"275","MOLX","Information Technology","Molex Inc."
"276","TAP","Consumer Staples","Molson Coors Brewing Company"
"277","MON","Materials","Monsanto Co."
"278","MWW","Industrials","Monster Worldwide"
"279","MCO","Financials","Moody's Corp"
"280","MS","Financials","Morgan Stanley"
"281","MSI","Information Technology","Motorola Solutions Inc."
"282","MUR","Energy","Murphy Oil"
"283","MYL","Health Care","Mylan Inc."
"284","NBR","Energy","Nabors Industries Ltd."
"285","NDAQ","Financials","NASDAQ OMX Group"
"286","NOV","Energy","National Oilwell Varco Inc."
"287","NSM","Information Technology","National Semiconductor"
"288","NTAP","Information Technology","NetApp"
"289","NFLX","Information Technology","NetFlix Inc."
"290","NWL","Consumer Discretionary","Newell Rubbermaid Co."
"291","NFX","Energy","Newfield Exploration Co"
"292","NEM","Materials","Newmont Mining Corp. (Hldg. Co.)"
"293","NWSA","Consumer Discretionary","News Corporation"
"294","NEE","Utilities","NextEra Energy Resources"
"295","GAS","Utilities","NICOR Inc."
"296","NKE","Consumer Discretionary","NIKE Inc."
"297","NI","Utilities","NiSource Inc."
"298","NE","Energy","Noble Corp"
"299","NBL","Energy","Noble Energy Inc"
"300","JWN","Consumer Discretionary","Nordstrom"
"301","NSC","Industrials","Norfolk Southern Corp."
"302","NTRS","Financials","Northern Trust Corp."
"303","NOC","Industrials","Northrop Grumman Corp."
"304","NU","Utilities","Northeast Utilities"
"305","NVLS","Information Technology","Novellus Systems"
"306","NUE","Materials","Nucor Corp."
"307","NVDA","Information Technology","Nvidia Corporation"
"308","ORLY","Consumer Discretionary","O'Reilly Automotive"
"309","OXY","Energy","Occidental Petroleum"
"310","OMC","Consumer Discretionary","Omnicom Group"
"311","OKE","Utilities","ONEOK"
"312","ORCL","Information Technology","Oracle Corp."
"313","OI","Materials","Owens-Illinois Inc"
"314","PCAR","Industrials","PACCAR Inc."
"315","IR","Industrials","Ingersoll-Rand PLC"
"316","PLL","Industrials","Pall Corp."
"317","PH","Industrials","Parker-Hannifin"
"318","PDCO","Health Care","Patterson Companies"
"319","PAYX","Information Technology","Paychex Inc."
"320","BTU","Energy","Peabody Energy"
"321","JCP","Consumer Discretionary","Penney (J.C.)"
"322","PBCT","Financials","People's United Bank"
"323","POM","Utilities","Pepco Holdings Inc."
"324","PEP","Consumer Staples","PepsiCo Inc."
"325","PKI","Health Care","PerkinElmer"
"326","PFE","Health Care","Pfizer Inc."
"327","PCG","Utilities","PG&E Corp."
"328","PNW","Utilities","Pinnacle West Capital"
"329","PXD","Energy","Pioneer Natural Resources"
"330","PBI","Industrials","Pitney-Bowes"
"331","PCL","Financials","Plum Creek Timber Co."
"332","PNC","Financials","PNC Financial Services"
"333","RL","Consumer Discretionary","Polo Ralph Lauren Corp."
"334","PPG","Materials","PPG Industries"
"335","PPL","Utilities","PPL Corp."
"336","PX","Materials","Praxair Inc."
"337","PCP","Industrials","Precision Castparts"
"338","PCLN","Industrials","Priceline.com Inc"
"339","PFG","Financials","Principal Financial Group"
"340","PG","Consumer Staples","Procter & Gamble"
"341","PGN","Utilities","Progress Energy Inc."
"342","PGR","Financials","Progressive Corp."
"343","PLD","Financials","ProLogis"
"344","PRU","Financials","Prudential Financial"
"345","PSA","Financials","Public Storage"
"346","PHM","Consumer Discretionary","Pulte Homes Inc."
"347","PWR","Industrials","Quanta Services Inc."
"348","QCOM","Information Technology","QUALCOMM Inc."
"349","DGX","Health Care","Quest Diagnostics"
"350","RSH","Consumer Discretionary","RadioShack Corp"
"351","RRC","Energy","Range Resources Corp."
"352","RTN","Industrials","Raytheon Co."
"353","RHT","Information Technology","Red Hat Inc."
"354","RF","Financials","Regions Financial Corp."
"355","RSG","Industrials","Republic Services Inc"
"356","RAI","Consumer Staples","Reynolds American Inc."
"357","RHI","Industrials","Robert Half International"
"358","ROK","Industrials","Rockwell Automation Inc."
"359","COL","Industrials","Rockwell Collins"
"360","ROP","Industrials","Roper Industries"
"361","ROST","Consumer Discretionary","Ross Stores Inc."
"362","RDC","Energy","Rowan Cos."
"363","R","Industrials","Ryder System"
"364","SWY","Consumer Staples","Safeway Inc."
"365","SNDK","Information Technology","SanDisk Corporation"
"366","SLE","Consumer Staples","Sara Lee Corp."
"367","SCG","Utilities","SCANA Corp"
"368","SLB","Energy","Schlumberger Ltd."
"369","SEE","Materials","Sealed Air Corp.(New)"
"370","SRE","Utilities","Sempra Energy"
"371","SHW","Consumer Discretionary","Sherwin-Williams"
"372","SIAL","Materials","Sigma-Aldrich"
"373","SPG","Financials","Simon Property Group Inc"
"374","SLM","Financials","SLM Corporation"
"375","SJM","Consumer Staples","Smucker (J.M.)"
"376","SNA","Consumer Discretionary","Snap-On Inc."
"377","SO","Utilities","Southern Co."
"378","LUV","Industrials","Southwest Airlines"
"379","SWN","Energy","Southwestern Energy"
"380","S","Telecommunications Services","Sprint Nextel Corp."
"381","STJ","Health Care","St Jude Medical"
"382","SWK","Consumer Discretionary","Stanley Black & Decker"
"383","SPLS","Consumer Discretionary","Staples Inc."
"384","SBUX","Consumer Discretionary","Starbucks Corp."
"385","HOT","Consumer Discretionary","Starwood Hotels & Resorts"
"386","STT","Financials","State Street Corp."
"387","SRCL","Industrials","Stericycle Inc"
"388","SYK","Health Care","Stryker Corp."
"389","SUN","Energy","Sunoco Inc."
"390","STI","Financials","SunTrust Banks"
"391","SVU","Consumer Staples","Supervalu Inc."
"392","SYMC","Information Technology","Symantec Corp."
"393","SYY","Consumer Staples","Sysco Corp."
"394","TROW","Financials","T. Rowe Price Group"
"395","TGT","Consumer Discretionary","Target Corp."
"396","TE","Utilities","TECO Energy"
"397","TLAB","Information Technology","Tellabs Inc."
"398","THC","Health Care","Tenet Healthcare Corp."
"399","TER","Information Technology","Teradyne Inc."
"400","TSO","Energy","Tesoro Petroleum Co."
"401","TXN","Information Technology","Texas Instruments"
"402","TXT","Industrials","Textron Inc."
"403","HSY","Consumer Staples","The Hershey Company"
"404","TRV","Financials","The Travelers Companies Inc."
"405","TMO","Health Care","Thermo Fisher Scientific"
"406","TIF","Consumer Discretionary","Tiffany & Co."
"407","TWX","Consumer Discretionary","Time Warner Inc."
"408","TIE","Materials","Titanium Metals Corp"
"409","TJX","Consumer Discretionary","TJX Companies Inc."
"410","TMK","Financials","Torchmark Corp."
"411","TSS","Information Technology","Total System Services"
"412","TSN","Consumer Staples","Tyson Foods"
"413","TYC","Industrials","Tyco International"
"414","USB","Financials","U.S. Bancorp"
"415","UNP","Industrials","Union Pacific"
"416","UNH","Health Care","United Health Group Inc."
"417","UPS","Industrials","United Parcel Service"
"418","X","Materials","United States Steel Corp."
"419","UTX","Industrials","United Technologies"
"420","UNM","Financials","Unum Group"
"421","URBN","Consumer Discretionary","Urban Outfitters"
"422","VFC","Consumer Discretionary","V.F. Corp."
"423","VLO","Energy","Valero Energy"
"424","VAR","Health Care","Varian Medical Systems"
"425","VTR","Financials","Ventas Inc"
"426","VRSN","Information Technology","Verisign Inc."
"427","VZ","Telecommunications Services","Verizon Communications"
"428","VNO","Financials","Vornado Realty Trust"
"429","VMC","Materials","Vulcan Materials"
"430","WMT","Consumer Staples","Wal-Mart Stores"
"431","WAG","Consumer Staples","Walgreen Co."
"432","DIS","Consumer Discretionary","Walt Disney Co."
"433","WPO","Consumer Discretionary","Washington Post Co B"
"434","WM","Industrials","Waste Management Inc."
"435","WAT","Health Care","Waters Corporation"
"436","WPI","Health Care","Watson Pharmaceuticals"
"437","WFC","Financials","Wells Fargo"
"438","WDC","Information Technology","Western Digital"
"439","WY","Materials","Weyerhaeuser Corp."
"440","WHR","Consumer Discretionary","Whirlpool Corp."
"441","WFM","Consumer Staples","Whole Foods Market"
"442","WMB","Energy","Williams Cos."
"443","WEC","Utilities","Wisconsin Energy Corporation"
"444","WYNN","Consumer Discretionary","Wynn Resorts Ltd"
"445","XEL","Utilities","Xcel Energy Inc"
"446","XRX","Information Technology","Xerox Corp."
"447","XLNX","Information Technology","Xilinx Inc"
"448","XL","Financials","XL Capital"
"449","YHOO","Information Technology","Yahoo Inc."
"450","YUM","Consumer Discretionary","Yum! Brands Inc"
"451","ZMH","Health Care","Zimmer Holdings"
"452","ZION","Financials","Zions Bancorp"
